Date,NO,SE,FI
30/01/17,44240,14159,2929
06/02/17,41458,13006,2765
13/02/17,39043,12132,2657
20/02/17,37381,11406,2574
27/02/17,35222,10534,2457
06/03/17,32716,9540,2327
13/03/17,31142,8862,2246
20/03/17,29456,8156,2127
27/03/17,28601,7636,2040
03/04/17,28251,7398,1992
10/04/17,27589,7203,1989
17/04/17,26148,6838,1952
24/04/17,24236,6373,1956
01/05/17,23543,6615,2092
08/05/17,23183,6873,2184
15/05/17,28682,8474,2402
22/05/17,33857,11123,3033
29/05/17,37965,12696,3432
05/06/17,44950,15186,3707
12/06/17,50159,18185,3834
19/06/17,53631,20285,3911
26/06/17,55720,21751,3948
03/07/17,56950,22576,3906
10/07/17,58713,24418,3970
17/07/17,60102,25453,4012
24/07/17,61742,26000,3977
31/07/17,64004,26679,3981
07/08/17,65357,26900,3990
14/08/17,66620,27290,3955
21/08/17,66678,27381,3897
